%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2024 249 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.50000 71.00 20.90 101.19 0.00 202.00 -999.00 345.00 -999.00 -999.00 -999.00 -999.00 62.00 513.00 78.00
2024 249 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.10000 64.00 22.80 101.20 0.00 342.00 -999.00 353.00 -999.00 -999.00 -999.00 -999.00 82.00 630.00 84.00
2024 249 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.40000 57.00 24.80 101.22 0.00 471.00 -999.00 358.00 -999.00 -999.00 -999.00 -999.00 93.00 713.00 89.00
2024 249 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.40000 50.00 27.00 101.21 0.00 572.00 -999.00 362.00 -999.00 -999.00 -999.00 -999.00 101.00 763.00 88.00
2024 249 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.90000 43.00 28.70 101.18 0.00 634.00 -999.00 364.00 -999.00 -999.00 -999.00 -999.00 105.00 790.00 87.00
2024 249 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.50000 38.00 29.80 101.15 0.00 652.00 -999.00 365.00 -999.00 -999.00 -999.00 -999.00 106.00 801.00 85.00
2024 249 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 7.10000 35.00 30.40 101.11 0.00 621.00 -999.00 367.00 -999.00 -999.00 -999.00 -999.00 104.00 791.00 82.00
2024 249 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 7.40000 35.00 30.40 101.09 0.00 545.00 -999.00 367.00 -999.00 -999.00 -999.00 -999.00 97.00 763.00 80.00
2024 249 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 7.00000 36.00 30.00 101.10 0.00 433.00 -999.00 365.00 -999.00 -999.00 -999.00 -999.00 88.00 708.00 76.00
2024 249 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.60000 38.00 29.10 101.12 0.00 296.00 -999.00 362.00 -999.00 -999.00 -999.00 -999.00 74.00 616.00 73.00
2024 249 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.40000 41.00 27.50 101.12 0.00 151.00 -999.00 359.00 -999.00 -999.00 -999.00 -999.00 53.00 456.00 71.00
